price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age,last_renovation
221900.0,3,1.0,1180,5650,1.0,0,0,3,1,1180,0,60,60
538000.0,3,2.25,2570,7242,2.0,0,0,3,1,2170,400,64,24
180000.0,2,1.0,770,10000,1.0,0,0,3,1,770,0,82,82
604000.0,4,3.0,1960,5000,1.0,0,0,5,1,1050,910,50,50
510000.0,3,2.0,1680,8080,1.0,0,0,3,1,1680,0,28,28
1225000.0,4,4.5,5420,101930,1.0,0,0,3,2,3890,1530,14,14
257500.0,3,2.25,1715,6819,2.0,0,0,3,1,1715,0,20,20
291850.0,3,1.5,1060,9711,1.0,0,0,3,1,1060,0,52,52
229500.0,3,1.0,1780,7470,1.0,0,0,3,1,1050,730,55,55
323000.0,3,2.5,1890,6560,2.0,0,0,3,1,1890,0,12,12
662500.0,3,2.5,3560,9796,1.0,0,0,3,1,1860,1700,50,50
468000.0,2,1.0,1160,6000,1.0,0,0,4,1,860,300,73,73
310000.0,3,1.0,1430,19901,1.5,0,0,4,1,1430,0,88,88
400000.0,3,1.75,1370,9680,1.0,0,0,4,1,1370,0,38,38
530000.0,5,2.0,1810,4850,1.5,0,0,3,1,1810,0,115,115
650000.0,4,3.0,2950,5000,2.0,0,3,3,1,1980,970,36,36
395000.0,3,2.0,1890,14040,2.0,0,0,3,1,1890,0,21,21
485000.0,4,1.0,1600,4300,1.5,0,0,4,1,1600,0,99,99
189000.0,2,1.0,1200,9850,1.0,0,0,4,1,1200,0,94,94
230000.0,3,1.0,1250,9774,1.0,0,0,4,1,1250,0,46,46
385000.0,4,1.75,1620,4980,1.0,0,0,4,1,860,760,68,68
2000000.0,3,2.75,3050,44867,1.0,0,4,3,1,2330,720,47,47
285000.0,5,2.5,2270,6300,2.0,0,0,3,1,2270,0,20,20
252700.0,2,1.5,1070,9643,1.0,0,0,3,1,1070,0,30,30
329000.0,3,2.25,2450,6500,2.0,0,0,4,1,2450,0,30,30
233000.0,3,2.0,1710,4697,1.5,0,0,5,1,1710,0,74,74
937000.0,3,1.75,2450,2691,2.0,0,0,3,1,1750,700,100,100
667000.0,3,1.0,1400,1581,1.5,0,0,5,1,1400,0,106,106
438000.0,3,1.75,1520,6380,1.0,0,0,3,1,790,730,67,67
719000.0,4,2.5,2570,7173,2.0,0,0,3,1,2570,0,10,10
580500.0,3,2.5,2320,3980,2.0,0,0,3,1,2320,0,12,12
280000.0,2,1.5,1190,1265,3.0,0,0,3,1,1190,0,10,10
687500.0,4,1.75,2330,5000,1.5,0,0,4,1,1510,820,86,86
535000.0,3,1.0,1090,3000,1.5,0,0,4,1,1090,0,86,86
322500.0,4,2.75,2060,6659,1.0,0,0,3,1,1280,780,34,34
696000.0,3,2.5,2300,3060,1.5,0,0,3,1,1510,790,85,13
550000.0,4,1.0,1660,34848,1.0,0,0,1,1,930,730,82,82
640000.0,4,2.0,2360,6000,2.0,0,0,4,1,2360,0,111,111
240000.0,4,1.0,1220,8075,1.0,0,0,2,1,890,330,46,46
605000.0,4,2.5,2620,7553,2.0,0,0,3,1,2620,0,19,19
625000.0,4,2.5,2570,5520,2.0,0,0,3,1,2570,0,15,15
775000.0,4,2.25,4220,24186,1.0,0,0,3,1,2600,1620,31,31
861990.0,5,2.75,3595,5639,2.0,0,0,3,1,3595,0,1,1
685000.0,3,1.0,1570,2280,2.0,0,0,3,1,1570,0,93,93
309000.0,3,1.0,1280,9656,1.0,0,0,4,1,920,360,56,56
488000.0,3,2.5,3160,13603,2.0,0,0,3,1,3160,0,12,12
210490.0,3,1.0,990,8528,1.0,0,0,3,1,990,0,49,49
785000.0,4,2.5,2290,13416,2.0,0,0,4,1,2290,0,34,34
450000.0,3,1.75,1250,5963,1.0,0,0,4,1,1250,0,62,62
1350000.0,3,2.5,2753,65005,1.0,1,2,5,1,2165,588,62,62
228000.0,3,1.0,1190,9199,1.0,0,0,3,1,1190,0,60,60
345000.0,5,2.5,3150,9134,1.0,0,0,4,1,1640,1510,49,49
600000.0,3,1.75,1410,4080,1.0,0,0,4,1,1000,410,65,65
585000.0,2,1.75,1980,8550,1.0,0,0,3,1,990,990,34,34
920000.0,5,2.25,2730,6000,1.5,0,0,3,1,2130,600,88,88
885000.0,4,2.5,2830,5000,2.0,0,0,3,1,2830,0,20,20
292500.0,4,2.5,2250,4495,2.0,0,0,3,1,2250,0,7,7
301000.0,3,2.5,2420,4750,2.0,0,0,3,1,2420,0,12,12
951000.0,5,3.25,3250,14342,2.0,0,4,4,1,3250,0,47,47
430000.0,4,3.0,1850,9976,2.0,0,0,3,1,1850,0,24,24
650000.0,3,2.25,2150,21235,1.0,0,3,4,1,1590,560,56,56
289000.0,3,1.75,1260,8400,1.0,0,0,3,1,1260,0,61,61
505000.0,3,1.75,2519,8690,2.0,0,0,5,1,2519,0,42,42
549000.0,3,1.75,1540,1044,3.0,0,0,3,1,1540,0,1,1
425000.0,3,2.25,1660,6000,1.0,0,0,3,1,1110,550,36,36
317625.0,3,2.75,2770,3809,1.5,0,0,5,1,1770,1000,90,90
975000.0,4,2.5,2720,11049,2.0,0,0,3,2,2720,0,26,26
287000.0,4,2.5,2240,4648,2.0,0,0,3,1,2240,0,10,10
204000.0,3,1.0,1000,12070,1.0,0,0,4,1,1000,0,47,47
1325000.0,5,2.25,3200,20158,1.0,0,0,3,1,1600,1600,50,50
1040000.0,5,3.25,4770,50094,1.0,0,0,4,2,3070,1700,42,42
325000.0,3,2.0,1260,5612,1.0,0,0,4,1,1260,0,43,43
571000.0,4,2.0,2750,7807,1.5,0,0,5,1,2250,500,99,99
360000.0,4,2.5,2380,5000,2.0,0,0,3,1,2380,0,10,10
349000.0,3,1.75,1790,50529,1.0,0,0,5,1,1090,700,50,50
832500.0,4,4.0,3430,35102,2.0,0,0,4,2,2390,1040,29,29
380000.0,4,1.75,1760,7300,1.0,0,0,3,1,880,880,59,59
480000.0,3,1.0,1040,5060,1.0,0,0,3,1,1040,0,74,74
410000.0,3,1.0,1410,5060,1.0,0,0,4,1,910,500,59,59
720000.0,4,2.5,3450,39683,2.0,0,0,3,2,3450,0,13,13
390000.0,3,2.5,2350,5100,2.0,0,0,3,1,2350,0,12,12
360000.0,4,2.5,1900,5889,2.0,0,0,3,1,1900,0,23,23
355000.0,2,1.0,2020,6720,1.0,0,0,3,1,1010,1010,67,67
356000.0,3,1.5,1680,8712,1.0,0,0,3,1,1680,0,51,51
315000.0,3,1.0,960,6634,1.0,0,0,3,1,960,0,63,63
940000.0,3,1.5,2140,3600,2.0,0,0,3,1,1900,240,90,90
305000.0,5,2.25,2660,8400,1.5,0,0,5,1,2660,0,54,54
461000.0,3,3.25,2770,6278,2.0,0,0,3,1,1980,790,9,9
215000.0,2,2.25,1610,2040,2.0,0,0,4,1,1610,0,36,36
335000.0,2,1.75,1030,1066,2.0,0,0,3,1,765,265,9,9
243500.0,4,2.5,1980,7403,2.0,0,0,3,1,1980,0,27,27
1099880.0,5,2.75,3520,6353,2.0,0,0,4,2,3520,0,14,14
153000.0,3,1.0,1200,10500,1.0,0,0,3,1,1200,0,53,53
430000.0,3,1.5,1580,5000,1.0,0,0,3,1,1290,290,76,76
700000.0,3,1.5,1580,5000,1.0,0,0,3,1,1290,290,76,76
905000.0,4,2.5,3300,10250,1.0,0,0,3,1,2390,910,69,24
247500.0,3,1.75,1960,15681,1.0,0,0,3,1,1960,0,48,48
199000.0,4,1.5,1160,6400,1.0,0,0,4,1,1160,0,40,40
314000.0,3,1.75,1810,41800,1.0,0,0,5,1,1210,600,35,35
437500.0,3,2.5,2320,36847,2.0,0,2,3,1,2320,0,23,23
850830.0,3,2.5,2070,13241,1.5,0,0,5,1,1270,800,105,105
555000.0,3,2.0,1980,3478,1.5,0,0,4,1,1440,540,86,86
699950.0,3,2.25,2190,107593,2.0,0,0,4,1,2190,0,32,32
1088000.0,3,2.5,2920,8113,2.0,0,0,3,1,2920,0,65,5
290000.0,3,1.0,1210,33919,1.0,0,0,3,1,1210,0,61,61
375000.0,3,2.5,2340,10005,1.0,0,0,4,1,1460,880,37,37
460000.0,3,1.0,1670,4005,1.5,0,0,4,1,1170,500,76,76
188500.0,2,1.75,1240,2493,1.0,0,0,4,1,1240,0,30,30
680000.0,4,2.5,3140,28037,2.0,0,0,4,2,3140,0,24,24
470000.0,5,1.75,2030,12342,2.0,0,0,4,1,2030,0,73,73
597750.0,4,2.5,2310,9624,2.0,0,0,3,1,2310,0,31,31
570000.0,3,1.75,1260,3328,1.0,0,0,5,1,700,560,110,110
272500.0,3,1.75,1540,12600,1.0,0,0,4,1,1160,380,35,35
329950.0,3,1.75,2080,5969,1.0,0,2,3,1,1080,1000,44,44
480000.0,4,2.5,3230,16171,2.0,0,3,3,1,2520,710,14,14
740500.0,3,3.5,4380,6350,2.0,0,0,3,1,2780,1600,115,16
518500.0,3,3.5,1590,1102,3.0,0,0,3,1,1590,0,5,5
205425.0,2,1.0,880,6780,1.0,0,0,4,1,880,0,70,70
171800.0,4,2.0,1570,9600,1.0,0,0,3,1,1570,0,65,65
535000.0,4,1.0,1610,2982,1.5,0,0,4,1,1610,0,90,90
