date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age,last_renovation
10-2014,221900.0,3,1.0,1180,5650,1.0,0,0,3,1,1180,0,60,60
12-2014,538000.0,3,2.25,2570,7242,2.0,0,0,3,1,2170,400,64,24
02-2015,180000.0,2,1.0,770,10000,1.0,0,0,3,1,770,0,82,82
12-2014,604000.0,4,3.0,1960,5000,1.0,0,0,5,1,1050,910,50,50
02-2015,510000.0,3,2.0,1680,8080,1.0,0,0,3,1,1680,0,28,28
06-2014,257500.0,3,2.25,1715,6819,2.0,0,0,3,1,1715,0,20,20
01-2015,291850.0,3,1.5,1060,9711,1.0,0,0,3,1,1060,0,52,52
04-2015,229500.0,3,1.0,1780,7470,1.0,0,0,3,1,1050,730,55,55
03-2015,323000.0,3,2.5,1890,6560,2.0,0,0,3,1,1890,0,12,12
05-2014,468000.0,2,1.0,1160,6000,1.0,0,0,4,1,860,300,73,73
10-2014,400000.0,3,1.75,1370,9680,1.0,0,0,4,1,1370,0,38,38
03-2015,530000.0,5,2.0,1810,4850,1.5,0,0,3,1,1810,0,115,115
07-2014,395000.0,3,2.0,1890,14040,2.0,0,0,3,1,1890,0,21,21
05-2014,485000.0,4,1.0,1600,4300,1.5,0,0,4,1,1600,0,99,99
12-2014,189000.0,2,1.0,1200,9850,1.0,0,0,4,1,1200,0,94,94
04-2015,230000.0,3,1.0,1250,9774,1.0,0,0,4,1,1250,0,46,46
05-2014,385000.0,4,1.75,1620,4980,1.0,0,0,4,1,860,760,68,68
07-2014,285000.0,5,2.5,2270,6300,2.0,0,0,3,1,2270,0,20,20
05-2014,252700.0,2,1.5,1070,9643,1.0,0,0,3,1,1070,0,30,30
11-2014,329000.0,3,2.25,2450,6500,2.0,0,0,4,1,2450,0,30,30
11-2014,233000.0,3,2.0,1710,4697,1.5,0,0,5,1,1710,0,74,74
06-2014,937000.0,3,1.75,2450,2691,2.0,0,0,3,1,1750,700,100,100
12-2014,667000.0,3,1.0,1400,1581,1.5,0,0,5,1,1400,0,106,106
06-2014,438000.0,3,1.75,1520,6380,1.0,0,0,3,1,790,730,67,67
03-2015,719000.0,4,2.5,2570,7173,2.0,0,0,3,1,2570,0,10,10
11-2014,580500.0,3,2.5,2320,3980,2.0,0,0,3,1,2320,0,12,12
12-2014,280000.0,2,1.5,1190,1265,3.0,0,0,3,1,1190,0,10,10
06-2014,687500.0,4,1.75,2330,5000,1.5,0,0,4,1,1510,820,86,86
11-2014,535000.0,3,1.0,1090,3000,1.5,0,0,4,1,1090,0,86,86
12-2014,322500.0,4,2.75,2060,6659,1.0,0,0,3,1,1280,780,34,34
06-2014,696000.0,3,2.5,2300,3060,1.5,0,0,3,1,1510,790,85,13
12-2014,640000.0,4,2.0,2360,6000,2.0,0,0,4,1,2360,0,111,111
02-2015,240000.0,4,1.0,1220,8075,1.0,0,0,2,1,890,330,46,46
06-2014,605000.0,4,2.5,2620,7553,2.0,0,0,3,1,2620,0,19,19
